
Pattern no. 1 - euclidean, starttime : 2019-05-25 23:31:05.614184

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            2.24 / 0.01s            0.01        0.04        2.24        2.27

Sample no.2        0.45-0.7            0.18 / 0.01s            0.19        1.14        0.18        0.58

Sample no.3        2.23-2.8            3.0 / 0.01s             0.41        3.01        3.00        2.30

Sample no.4       3.48-3.65            3.55 / 0.01s            1.93        1.97        3.55        3.56

Sample no.5       1.36-1.55            1.38 / 0.01s            1.10        1.10        1.38        1.38

Sample no.6       2.79-3.25            2.22 / 0.01s            0.15        0.78        2.22        2.86

Sample no.7       2.20-2.70            2.16 / 0.01s            0.32        0.30        2.16        2.19

Sample no.8       1.25-1.65            0.76 / 0.01s            1.50        1.50        0.76        1.33

Sample no.9       0.83-1.35            1.54 / 0.01s            1.50        1.50        1.54        0.92

Sample no.10       0.93-1.45            1.46 / 0.01s            1.50        1.50        1.46        0.99

Pattern no. 2 - fastdtw, starttime : 2019-05-25 23:55:41.614642

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            2.27 / 7.4s             0.00        0.04        2.27        1.59

Sample no.2        0.45-0.7           0.01 / 11.81s            0.32        0.40        0.01        0.53

Sample no.3        2.23-2.8            3.0 / 12.06s            3.04        3.03        3.00        2.31

Sample no.4       3.48-3.65           3.53 / 11.96s            1.31        1.98        3.53        3.52

Sample no.5       1.36-1.55           1.36 / 11.93s            0.16        1.26        1.36        1.36

Sample no.6       2.79-3.25            2.55 / 12.0s            0.10        1.29        2.55        2.89

Sample no.7       2.20-2.70            2.21 / 7.34s            0.44        0.30        2.21        2.20

Sample no.8       1.25-1.65            0.82 / 7.1s             0.89        1.40        0.82        1.35

Sample no.9       0.83-1.35            1.53 / 6.91s            0.76        1.50        1.53        0.92

Sample no.10       0.93-1.45            0.0 / 6.96s             0.61        1.47        0.00        1.00

Pattern no. 3 - euclidean, starttime : 2019-05-26 00:21:01.739646

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            1.62 / 0.01s            0.00        0.04        1.62        2.27

Sample no.2        0.45-0.7            0.17 / 0.01s            2.36        0.81        0.17        0.58

Sample no.3        2.23-2.8            3.01 / 0.01s            0.10        3.00        3.01        2.30

Sample no.4       3.48-3.65            3.57 / 0.01s            1.60        1.98        3.57        3.56

Sample no.5       1.36-1.55            1.38 / 0.01s            2.85        1.75        1.38        1.38

Sample no.6       2.79-3.25            2.56 / 0.01s            0.79        1.27        2.56        2.86

Sample no.7       2.20-2.70            2.17 / 0.01s            0.38        0.33        2.17        2.19

Sample no.8       1.25-1.65            0.78 / 0.01s            0.68        0.68        0.78        1.33

Sample no.9       0.83-1.35            1.53 / 0.01s            0.26        0.26        1.53        0.92

Sample no.10       0.93-1.45            1.08 / 0.01s            0.36        0.36        1.08        0.99

Pattern no. 3 - fastdtw, starttime : 2019-05-26 00:21:02.215731

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            2.08 / 7.11s            0.19        0.04        2.08        1.59

Sample no.2        0.45-0.7           0.58 / 14.65s            0.02        0.21        0.58        0.53

Sample no.3        2.23-2.8           2.88 / 14.67s            1.00        1.01        2.88        2.31

Sample no.4       3.48-3.65           3.53 / 14.62s            2.61        2.82        3.53        3.52

Sample no.5       1.36-1.55           1.36 / 14.57s            2.92        2.19        1.36        1.36

Sample no.6       2.79-3.25           2.56 / 13.73s            0.23        2.92        2.56        2.89

Sample no.7       2.20-2.70            2.2 / 8.02s             1.50        1.47        2.20        2.20

Sample no.8       1.25-1.65            0.56 / 8.01s            0.86        0.04        0.56        1.35

Sample no.9       0.83-1.35            0.97 / 7.88s            0.34        1.50        0.97        0.92

Sample no.10       0.93-1.45            1.06 / 7.97s            0.44        0.31        1.06        1.00

Pattern no. 4 - euclidean, starttime : 2019-05-26 00:50:13.030689

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            1.64 / 0.01s            0.02        0.04        1.64        2.27

Sample no.2        0.45-0.7            1.34 / 0.01s            2.27        0.72        1.34        0.58

Sample no.3        2.23-2.8            0.0 / 0.02s             0.00        2.98        0.00        2.30

Sample no.4       3.48-3.65            3.55 / 0.01s            1.50        1.98        3.55        3.56

Sample no.5       1.36-1.55            1.39 / 0.01s            2.75        2.75        1.39        1.38

Sample no.6       2.79-3.25            3.3 / 0.02s             0.68        1.27        3.30        2.86

Sample no.7       2.20-2.70            2.16 / 0.01s            1.50        1.50        2.16        2.19

Sample no.8       1.25-1.65            0.78 / 0.01s            0.59        0.59        0.78        1.33

Sample no.9       0.83-1.35            1.59 / 0.01s            0.17        0.17        1.59        0.92

Sample no.10       0.93-1.45            1.5 / 0.01s             0.27        0.27        1.50        0.99

Pattern no. 4 - fastdtw, starttime : 2019-05-26 00:50:13.570110

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            1.96 / 13.2s            0.19        0.04        1.96        1.59

Sample no.2        0.45-0.7            0.5 / 23.04s            0.00        0.18        0.50        0.53

Sample no.3        2.23-2.8            2.93 / 23.1s            1.59        1.01        2.93        2.31

Sample no.4       3.48-3.65           3.53 / 22.81s            2.63        2.31        3.53        3.52

Sample no.5       1.36-1.55           1.36 / 23.15s            2.78        2.19        1.36        1.36

Sample no.6       2.79-3.25           3.21 / 23.16s            0.79        2.93        3.21        2.89

Sample no.7       2.20-2.70            2.0 / 13.17s            1.50        1.47        2.00        2.20

Sample no.8       1.25-1.65           1.35 / 13.53s            0.84        0.03        1.35        1.35

Sample no.9       0.83-1.35           0.94 / 13.16s            0.25        0.00        0.94        0.92

Sample no.10       0.93-1.45           1.04 / 13.28s            0.32        0.02        1.04        1.00

Pattern no. 5 - euclidean, starttime : 2019-05-26 01:20:40.787014

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75            2.25 / 0.01s            0.00        0.04        2.25        2.27

Sample no.2        0.45-0.7            0.49 / 0.01s            2.41        0.86        0.49        0.58

Sample no.3        2.23-2.8            0.0 / 0.01s             1.71        3.00        0.00        2.30

Sample no.4       3.48-3.65            3.57 / 0.02s            1.65        1.98        3.57        3.56

Sample no.5       1.36-1.55            1.39 / 0.02s            2.90        2.90        1.39        1.38

Sample no.6       2.79-3.25            3.32 / 0.01s            0.83        1.27        3.32        2.86

Sample no.7       2.20-2.70            2.17 / 0.01s            0.38        0.31        2.17        2.19

Sample no.8       1.25-1.65            0.77 / 0.01s            0.73        0.73        0.77        1.33

Sample no.9       0.83-1.35            1.58 / 0.01s            0.31        0.31        1.58        0.92

Sample no.10       0.93-1.45            1.5 / 0.01s             0.41        0.41        1.50        0.99

Pattern no. 5 - fastdtw, starttime : 2019-05-26 01:20:41.326267

Sample no.       correct time        norm trim nnoise      basic       nnoise    trim nnoise   cut out  
Sample no.1       1.53-1.75           1.96 / 13.27s            0.20        0.04        1.96        1.59

Sample no.2        0.45-0.7            0.5 / 24.85s            0.01        0.20        0.50        0.53

Sample no.3        2.23-2.8           2.68 / 21.19s            1.88        1.04        2.68        2.31

Sample no.4       3.48-3.65           3.51 / 21.14s            2.85        2.21        3.51        3.52

Sample no.5       1.36-1.55           1.36 / 20.37s            2.93        2.22        1.36        1.36

Sample no.6       2.79-3.25            2.43 / 20.6s            0.15        2.92        2.43        2.89

Sample no.7       2.20-2.70           2.19 / 11.63s            1.50        1.47        2.19        2.20

Sample no.8       1.25-1.65           1.35 / 11.82s            0.88        0.07        1.35        1.35

Sample no.9       0.83-1.35           0.93 / 11.65s            0.42        0.21        0.93        0.92

Sample no.10       0.93-1.45           1.02 / 11.72s            0.49        0.10        1.02        1.00
